Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
45752558099475,2015-08-17,,2015-08-17,Benefix USPI under wrong category,Asif Solkar,,"High Priority,Drug Class",the Benefix USPI is showing under the wrong generic category,Label Issues,
45244878917924,2015-08-11,,2015-08-17,Astellas Central America Label Mapping,sohel,,"High Priority,Upload,mapping","Can you map these two documents according to the usual UK SPC section order for Astellas?

You can name the format ""Central America"" for the dropdown, and if two formats are needed, they can be named : ""Central America - English"" and ""Central America- Spanish""

Client ID: 4

Please let me know if you have any questions. 

Thank you!

",Label Issues,
44582614518450,2015-08-06,,2015-08-11,"Enable Disable ""Delete"" button as per user roles for Save regional labels",sohel,,Completed,"https://app.asana.com/0/9322059614112/9322059614112  Please test for celgene user demo accounts: 

Admin: celgene_demo ;   demo123$

Regular user: celgene_demo1  ;  demo123$",Label Issues,
44582614518421,2015-08-06,,2015-08-11,Celgene Upload -Revlimid CCDS Not All Indications Showing up,sohel,,"High Priority,Completed,Upload,mapping",Please see screenshot and original document attached. ,Label Issues,
44582614518431,2015-08-06,,2015-08-11,Celgene Upload- Excel Export Issues,Asif Solkar,,"High Priority,Export Excel,Upload","Issues reported by client today:

1. Title of labels in excel export: Please change from UK SPC to ""Uploaded Document""
2. Any way to remove the extra blank spaces? User was unaware there was more information available below the blank space...

Please see the attached screenshot sent by client. 

Thanks!
Katia",Label Issues,
43450055730240,2015-07-31,2015-08-10,2015-08-10,Celgene Thalidomide CDS Mapping,sohel,,Completed,"There seems to be an issue with Indications and Usage section and Warnings and Precautions Section. Could you check on this? Comparison says no data available for both sections. 

Thanks,
Katia",Label Issues,
43265806384076,2015-07-30,2015-08-11,2015-08-11,CDS does not show any information when uploaded to label,sohel,,Completed,,Label Issues,
43449198258905,2015-07-31,2015-08-04,2015-08-04,Drug class not correctly listed,Asif Solkar,,,,Label Issues,
42805817718036,2015-07-27,2015-08-07,2015-08-07,Mapping Celgene Australia PI,sohel,,"High Priority,Completed,Upload",Please map attached Australia PI document. ,Label Issues,
42207113348294,2015-07-22,,2015-08-11,Make Upload Button Visible Without Need to Search,sohel,,"Completed,Medium Priority,Upload",,Label Issues,
41040344607740,2015-07-10,2015-07-28,2015-07-28,Entresto Label not in DOC Label- please upload,Asif Solkar,2015-07-12,"High Priority,Completed,missing label","Available on DailyMed 

http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=000dc81d-ab91-450c-8eae-8eb74e72296f

Please upload as soon as possible per client request. 

Thank you,
Katia",Label Issues,
41025267653857,2015-07-10,,2015-08-11,Mapping of Celgene Canada document,sohel,,,,Label Issues,
39611374328221,2015-06-29,2015-07-02,2015-07-02,only UK Labels are showing.,Asif Solkar,,"High Priority,missing label",,Label Issues,
39382836084708,2015-06-26,2015-07-08,2015-07-08,Bactrim label Warnings&Precautions section contains unrelated sections ,Asif Solkar,,"High Priority,Completed,Export Word","See highlights in the comparison in Warnings/Precautions section. Looks like it contains 3 unrelated sections under the actual warnings and precautions section. Some of them are also captured in their own sections separately as well. Why are they duplicated here? Can this be fixed? The issue is with the label in the database. 
",Label Issues,
